INSERT INTO `peminjaman` (`id`, `kode_pinjam`, `peminjam_id`, `kd_barang`, `nama_peminjam`, `petugas_pinjam`, `petugas_kembali`, `status`, `denda`, `tanggal_pinjam`, `tanggal_kembali`, `tanggal_pengembalian`, `created_at`, `updated_at`) VALUES
(17, '480253647', 20, '3e55b12c-6f7e-4391-895c-ea21d659eae4', 'Kambali Pangestu', 2, 2, 3, 0, '2021-03-15', '2021-03-29', '2021-03-28', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(18, '957746466', 21, '5a6a3f6b-db1e-4abf-a0c1-203c8ba63ca9', 'Silvia Prastuti', 2, 1, 3, 0, '2020-09-15', '2020-09-29', '2020-09-28', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(19, '123590270', 22, 'ddc0a5bf-f6d8-4f60-b0a8-cc7f53b1cad5', 'Marsito Kuswoyo S.I.Kom', 2, 2, 3, 0, '2021-08-13', '2021-08-27', '2021-08-26', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(20, '856351221', 23, 'c0fcc1a4-b026-492c-8415-df2d5fb5114b', 'Puspa Halimah S.Psi', 2, 2, 3, 0, '2021-09-06', '2021-09-20', '2021-09-19', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(21, '443261511', 24, '32c57d73-a9c0-4e27-b229-dc9f88a3f49c', 'Argono Daliono Januar', 1, 1, 3, 0, '2023-03-07', '2023-03-21', '2023-03-20', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(22, '688914974', 25, '319509fb-a60a-40c6-8215-806e063dbc54', 'Vanesa Riyanti S.IP', 2, 2, 3, 0, '2021-03-20', '2021-04-03', '2021-04-02', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(23, '688000873', 26, 'a8a8310d-86e3-4c7c-9b9a-0dfcb0e30b04', 'Tania Mandasari M.M.', 1, 2, 3, 0, '2020-09-06', '2020-09-20', '2020-09-19', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(24, '495626206', 27, 'd2a2cc47-898b-4d88-920c-eaa2f4e1b465', 'Edi Hardana Prasetyo', 2, 1, 3, 0, '2021-08-26', '2021-09-09', '2021-09-08', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(25, '414529596', 28, '3724c969-c9bc-4e41-9b35-8e003d153fe5', 'Karen Zulaika', 1, 2, 3, 0, '2021-10-12', '2021-10-26', '2021-10-25', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(26, '317492983', 29, '4da15a72-d83c-4683-8931-f62af81edde9', 'Belinda Palastri', 1, 1, 3, 0, '2021-07-15', '2021-07-29', '2021-07-28', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(27, '706072783', 30, '03d5b43f-a162-40ff-96b7-889d811f4ea6', 'Nugraha Santoso M.Kom.', 1, 1, 3, 0, '2022-06-21', '2022-07-05', '2022-07-04', '2023-05-29 02:10:29', '2023-05-29 02:10:29'),
(28, '262731220', 31, '18395942-7fce-48da-b97a-090b5b028ffd', 'Ade Purwanti', 1, 1, 3, 0, '2021-08-14', '2021-08-28', '2021-08-27', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(29, '580603278', 32, 'b0ff28b6-91e8-4d6c-b4fe-5e9df38ced2d', 'Viman Sihombing', 2, 2, 3, 0, '2022-01-26', '2022-02-09', '2022-02-08', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(30, '513727952', 33, '032fe6f2-6b22-4cc8-9073-7f17260c6c14', 'Putri Wijayanti', 1, 2, 3, 0, '2021-06-25', '2021-07-09', '2021-07-08', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(31, '343154068', 34, '2715e006-5020-4b54-9e1e-c69ad11ed00b', 'Wakiman Aditya Rajata M.TI.', 2, 1, 3, 0, '2022-07-11', '2022-07-25', '2022-07-24', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(32, '938269101', 35, '16a8a42c-7979-459e-8c55-7f9fa783b932', 'Pranata Jaeman Prabowo S.Sos', 1, 1, 3, 0, '2020-10-24', '2020-11-07', '2020-11-06', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(33, '168881075', 36, '89dbfb06-9d7b-49f7-bd20-c3393224c632', 'Lega Mustofa', 2, 1, 3, 0, '2021-02-24', '2021-03-10', '2021-03-09', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(34, '616257711', 37, '3dc6bb19-364f-4599-9d89-719e7c4de271', 'Agnes Wirda Wastuti', 2, 1, 3, 0, '2020-05-15', '2020-05-29', '2020-05-28', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(35, '519663941', 38, '77e0bda3-aab0-4120-9e6d-95585736db7d', 'Gina Nurdiyanti M.Farm', 1, 1, 3, 0, '2020-02-05', '2020-02-19', '2020-02-18', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(36, '170367899', 39, 'c24b6267-d2d7-4b12-92e9-fb3feea34ca8', 'Aisyah Mayasari', 1, 1, 3, 0, '2021-06-19', '2021-07-03', '2021-07-02', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(37, '538247730', 40, '2cf77dba-2caa-442e-b18a-01b320374065', 'Umay Kadir Putra', 2, 1, 3, 0, '2022-04-15', '2022-04-29', '2022-04-28', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(38, '513953289', 41, '7530291d-d760-46ea-a6d6-6ac7689fe23f', 'Rahayu Hasanah S.Ked', 1, 1, 3, 0, '2022-03-19', '2022-04-02', '2022-04-01', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(39, '364910101', 42, '3de55c30-a6c6-44c1-84bd-eb84bc153339', 'Drajat Dabukke', 2, 1, 3, 0, '2020-04-20', '2020-05-04', '2020-05-03', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(40, '160801185', 43, 'fc20922b-480c-463a-950c-6ae544645cea', 'Malika Astuti', 2, 1, 3, 0, '2021-02-22', '2021-03-08', '2021-03-07', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(41, '766187684', 44, '891cda90-37d4-44f5-a7dc-b8db8edfa5f1', 'Endah Puspasari', 1, 1, 3, 0, '2021-10-21', '2021-11-04', '2021-11-03', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(42, '966665921', 45, '5874d0e4-1dd5-4231-971e-33702060a505', 'Cici Rahmi Mayasari', 1, 1, 3, 0, '2022-03-17', '2022-03-31', '2022-03-30', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(43, '925560634', 46, '8db75100-75e0-4634-80ba-556892afc123', 'Oman Wahyudin', 2, 1, 3, 0, '2020-06-24', '2020-07-08', '2020-07-07', '2023-05-29 02:10:30', '2023-05-29 02:10:30'),
(44, '243416316', 47, '13d2f324-06d0-4c7a-bc66-b00a4642396a', 'Kania Elma Mandasari', 2, 2, 3, 0, '2021-07-11', '2021-07-25', '2021-07-24', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(45, '971682604', 48, '5d016eef-42a5-4157-a1d0-289fef56a11d', 'Syahrini Aryani S.IP', 1, 1, 3, 0, '2022-10-06', '2022-10-20', '2022-10-19', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(46, '944316834', 49, '78d5846e-250b-4773-b0f3-d572df9a310a', 'Clara Anggraini', 1, 1, 3, 0, '2020-05-07', '2020-05-21', '2020-05-20', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(47, '112816927', 50, '199da986-131d-4633-9ce7-96a3037fec64', 'Yoga Kacung Thamrin', 1, 1, 3, 0, '2022-01-06', '2022-01-20', '2022-01-19', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(48, '838363553', 51, 'b06f5ad9-7335-448d-9dba-55ecc0162ad1', 'Jamal Simanjuntak', 1, 2, 3, 0, '2023-01-07', '2023-01-21', '2023-01-20', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(49, '722198774', 52, '46734f38-830a-49d2-967d-da38b46ab363', 'Emas Bala Sitompul S.Sos', 2, 1, 3, 0, '2022-02-13', '2022-02-27', '2022-02-26', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(50, '759685593', 53, '2f27dfc5-0bac-4c19-bb5b-6d6e44eeabde', 'Nurul Melani', 2, 2, 3, 0, '2020-07-10', '2020-07-24', '2020-07-23', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(51, '861634024', 54, '40653aa0-795e-4ead-85cb-d980d54c0ee7', 'Safina Agustina', 2, 1, 3, 0, '2021-06-11', '2021-06-25', '2021-06-24', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(52, '108826502', 55, '0c0b17f8-f93d-4d48-ba38-06b3cd091b7a', 'Dian Lili Anggraini', 2, 2, 3, 0, '2021-04-26', '2021-05-10', '2021-05-09', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(53, '851275645', 56, 'd6a40cd9-85c7-4bfc-b74e-fe0c15fa7d6a', 'Erik Cager Zulkarnain', 1, 1, 3, 0, '2020-08-04', '2020-08-18', '2020-08-17', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(54, '134889735', 57, '4e902533-f322-477a-bcb0-b497b3521719', 'Yahya Manullang', 1, 2, 3, 0, '2020-12-24', '2021-01-07', '2021-01-06', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(55, '378117431', 58, '7d39f5a7-accd-41fe-b00c-b333640dba10', 'Atmaja Jayeng Natsir M.Farm', 1, 2, 3, 0, '2021-12-03', '2021-12-17', '2021-12-16', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(56, '344246012', 59, '013f1448-fbb4-4caa-b09b-33ad0b7d4885', 'Irsad Zulkarnain M.Farm', 1, 2, 3, 0, '2020-09-02', '2020-09-16', '2020-09-15', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(57, '839218559', 60, '535fa1f6-13f8-4c9d-ad43-d7ed13382551', 'Rahman Kemal Prabowo', 2, 2, 3, 0, '2021-10-01', '2021-10-15', '2021-10-14', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(58, '952733103', 61, '23c82296-4c50-467c-8034-8ac21117cbeb', 'Devi Kezia Wahyuni S.Psi', 2, 2, 3, 0, '2021-08-15', '2021-08-29', '2021-08-28', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(59, '613680635', 62, '96c4108d-6de0-43b2-8e5e-b6df7f87623a', 'Olga Latupono', 2, 2, 3, 0, '2020-11-19', '2020-12-03', '2020-12-02', '2023-05-29 02:10:31', '2023-05-29 02:10:31'),
(60, '129850365', 63, 'a29f9f2e-166d-4dab-901f-845bbc0efb5e', 'Sadina Pertiwi', 2, 1, 3, 0, '2021-02-05', '2021-02-19', '2021-02-18', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(61, '398476062', 64, 'b7567320-796d-4c7a-b537-b940b98dd2f0', 'Prasetya Megantara', 1, 1, 3, 0, '2022-10-17', '2022-10-31', '2022-10-30', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(62, '721392973', 65, 'b963b548-8eb8-48c9-b3ea-e722e8c9fb81', 'Garan Prayoga S.Kom', 1, 1, 3, 0, '2020-05-01', '2020-05-15', '2020-05-14', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(63, '814185489', 66, 'df441a92-bcf6-4202-86d1-9fce55101478', 'Malika Puspita', 1, 2, 3, 0, '2021-09-13', '2021-09-27', '2021-09-26', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(64, '509376457', 67, '6b408729-d553-4717-9990-0bd465444472', 'Ganda Balapati Marbun S.Gz', 2, 2, 3, 0, '2023-04-21', '2023-05-05', '2023-05-04', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(65, '939799415', 68, '606795ae-814f-48de-9f11-7d1b10eacd57', 'Lala Faizah Fujiati', 1, 1, 3, 0, '2021-01-15', '2021-01-29', '2021-01-28', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(66, '991977684', 69, '6a281f32-ea2d-4e83-8752-3502572fed27', 'Karimah Zelda Permata M.Kom.', 1, 2, 3, 0, '2020-04-15', '2020-04-29', '2020-04-28', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(67, '161533036', 70, 'c8523f3a-a147-4fa2-bd42-082067576f19', 'Bakiadi Hidayanto', 2, 2, 3, 0, '2020-02-01', '2020-02-15', '2020-02-14', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(68, '595809025', 71, 'e25077aa-b72f-4415-97b5-d97c75cabe28', 'Hana Pertiwi M.Kom.', 2, 1, 3, 0, '2023-04-29', '2023-05-13', '2023-05-12', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(69, '584546985', 72, '8917ef44-d2f1-445e-82e0-bd47492e56fd', 'Gawati Namaga', 2, 1, 3, 0, '2021-01-10', '2021-01-24', '2021-01-23', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(70, '211007244', 73, '35c16476-83b5-420d-9632-8b75463d2a4d', 'Kartika Ami Purnawati', 2, 2, 3, 0, '2020-06-16', '2020-06-30', '2020-06-29', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(71, '535602931', 74, '4d1f0ab4-e8c9-4bf9-9325-6b0edc36f7de', 'Keisha Natalia Susanti M.M.', 2, 1, 3, 0, '2022-11-29', '2022-12-13', '2022-12-12', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(72, '457240575', 75, 'e01b5fbe-ccd5-4bb4-adde-2942870752d9', 'Aisyah Hasanah', 2, 2, 3, 0, '2020-04-29', '2020-05-13', '2020-05-12', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(73, '105289915', 76, '1b41baf0-8756-4c6e-8999-c1441ce96e4e', 'Vero Ramadan S.Sos', 2, 2, 3, 0, '2021-05-12', '2021-05-26', '2021-05-25', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(74, '697031764', 77, '69f3eb0b-75b8-48d9-a032-c7c1044981b4', 'Sabrina Yulianti M.Ak', 1, 2, 3, 0, '2021-12-01', '2021-12-15', '2021-12-14', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(75, '919683175', 78, 'b4bf492e-4c5f-4d7f-ba2a-0a8576baf150', 'Bahuwarna Adhiarja Adriansyah S.E.', 1, 2, 3, 0, '2020-07-08', '2020-07-22', '2020-07-21', '2023-05-29 02:10:32', '2023-05-29 02:10:32'),
(76, '712174167', 79, 'e1c5ced8-a94d-4be8-bc35-6dd88fec946b', 'Pia Novitasari', 1, 1, 3, 0, '2023-02-23', '2023-03-09', '2023-03-08', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(77, '280397515', 80, '04e4dbc5-b120-48ee-a1d0-3debe63002e7', 'Eman Garda Saputra M.Ak', 1, 1, 3, 0, '2021-10-09', '2021-10-23', '2021-10-22', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(78, '432158606', 81, 'a70624ba-b1a7-4148-ab8b-52387c8c07b2', 'Kasiyah Melani', 2, 2, 3, 0, '2021-07-16', '2021-07-30', '2021-07-29', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(79, '761953127', 82, '9fe721d8-2082-4482-a727-d51202977328', 'Agus Pratama S.Ked', 1, 1, 3, 0, '2021-04-06', '2021-04-20', '2021-04-19', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(80, '135092051', 83, '28ab364a-9c1c-4f33-8351-d475475436c7', 'Genta Nurdiyanti M.Ak', 1, 2, 3, 0, '2021-08-03', '2021-08-17', '2021-08-16', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(81, '387622320', 84, 'e096b198-ef7a-4659-8d16-72774c5935b4', 'Dipa Maheswara M.Ak', 1, 1, 3, 0, '2023-05-14', '2023-05-28', '2023-05-27', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(82, '473895641', 85, 'e5a5e7b8-3802-4a21-a455-b45b4b93e709', 'Prabu Irawan M.TI.', 2, 2, 3, 0, '2021-01-30', '2021-02-13', '2021-02-12', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(83, '870008658', 86, 'b2b78437-c7e4-4c7c-ada8-b0050abad8fb', 'Prasetya Asirwada Lazuardi S.IP', 2, 2, 3, 0, '2020-12-06', '2020-12-20', '2020-12-19', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(84, '138983695', 87, '664b6298-1ffd-4e64-b756-300abebef26a', 'Oni Winarsih S.Gz', 2, 2, 3, 0, '2021-08-25', '2021-09-08', '2021-09-07', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(85, '694519081', 88, 'a7fe46e4-6496-4700-b1d5-bf9a9855ee82', 'Maida Palastri', 1, 1, 3, 0, '2022-11-29', '2022-12-13', '2022-12-12', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(86, '114014516', 89, 'e4b5556b-c207-4d23-b0bb-4533849d6238', 'Karja Sitorus', 1, 1, 3, 0, '2022-08-14', '2022-08-28', '2022-08-27', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(87, '689380809', 90, '2b1bc717-1727-4916-b1d1-5102fe7a5ce7', 'Harja Zulkarnain', 1, 2, 3, 0, '2022-04-08', '2022-04-22', '2022-04-21', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(88, '857233106', 91, '313d14fe-f42b-4031-b236-f5c8e8fe7068', 'Prabowo Kardi Sihotang S.Farm', 2, 2, 3, 0, '2022-01-15', '2022-01-29', '2022-01-28', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(89, '675149829', 92, '838ef622-e836-4842-b3c6-78fdc6bee6ca', 'Yono Thamrin', 1, 1, 3, 0, '2021-08-23', '2021-09-06', '2021-09-05', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(90, '479941777', 93, '4c4a0497-8ff5-420e-aef2-05e7b2d68355', 'Janet Nova Melani S.Pt', 1, 1, 3, 0, '2021-04-05', '2021-04-19', '2021-04-18', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(91, '550140067', 94, 'f1e2bb8a-85e6-4dcc-b4c1-dac2a31e14d5', 'Clara Aryani', 1, 1, 3, 0, '2021-04-02', '2021-04-16', '2021-04-15', '2023-05-29 02:10:33', '2023-05-29 02:10:33'),
(92, '658296328', 95, 'ddc0a5bf-f6d8-4f60-b0a8-cc7f53b1cad5', 'Tina Ika Yuliarti', 1, 2, 3, 0, '2023-03-24', '2023-04-07', '2023-04-06', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(93, '968599620', 96, '5ae36035-9fd2-48a1-9587-1ebacf167b23', 'Patricia Fitria Suartini S.I.Kom', 1, 2, 3, 0, '2021-06-01', '2021-06-15', '2021-06-14', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(94, '226259931', 97, '92e37944-805f-426c-8ca1-76f88b8ac01b', 'Rahman Cakrabirawa Marpaung', 2, 1, 3, 0, '2022-03-16', '2022-03-30', '2022-03-29', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(95, '378309565', 98, '799349bd-368a-47fa-a82c-eff45e17b2ef', 'Mariadi Sihombing M.Kom.', 2, 2, 3, 0, '2021-02-25', '2021-03-11', '2021-03-10', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(96, '942149987', 99, '313d14fe-f42b-4031-b236-f5c8e8fe7068', 'Kasim Olga Hidayanto S.Ked', 2, 1, 3, 0, '2020-07-01', '2020-07-15', '2020-07-14', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(97, '439144720', 100, '74b8cb2a-8e69-460b-be2b-48ebae8aee19', 'Umay Murti Siregar S.IP', 2, 2, 3, 0, '2022-11-15', '2022-11-29', '2022-11-28', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(98, '127981585', 101, '78924dd2-b182-40cd-946e-4722c1d674e9', 'Nurul Pratiwi S.Kom', 2, 2, 3, 0, '2022-07-25', '2022-08-08', '2022-08-07', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(99, '148163551', 102, '97fc5e10-9698-4a14-b1a7-870d23f56761', 'Mutia Aryani', 1, 2, 3, 0, '2022-12-13', '2022-12-27', '2022-12-26', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(100, '282792651', 103, '13ffee77-3bd5-4e50-9cbd-4c9e1ce3c692', 'Dariati Kurnia Prakasa', 1, 1, 3, 0, '2022-06-13', '2022-06-27', '2022-06-26', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(101, '331965565', 104, '01b3674d-774f-476f-b320-027f05c5d3b2', 'Artanto Narpati', 1, 2, 3, 0, '2021-09-08', '2021-09-22', '2021-09-21', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(102, '260974988', 105, 'e41da8f1-b4ea-4975-b574-a24104a84741', 'Vivi Queen Yolanda', 2, 1, 3, 0, '2022-10-23', '2022-11-06', '2022-11-05', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(103, '509251107', 106, 'd95bc064-f7a0-473c-9ac3-f6374a900c4d', 'Hana Yani Suartini S.Ked', 2, 1, 3, 0, '2021-03-20', '2021-04-03', '2021-04-02', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(104, '345222668', 107, '79e5f827-2a27-41e3-995d-bc1dff1275e5', 'Suci Purnawati', 1, 2, 3, 0, '2022-03-04', '2022-03-18', '2022-03-17', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(105, '582065156', 108, '999b5372-9100-4f12-8acd-5309c8eea820', 'Anggabaya Edison Tamba', 2, 1, 3, 0, '2020-06-25', '2020-07-09', '2020-07-08', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(106, '232276407', 109, '518b6289-4c7c-43d4-bcf3-04a485cf4a53', 'Hardi Dabukke', 2, 2, 3, 0, '2022-10-17', '2022-10-31', '2022-10-30', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(107, '580885831', 110, '4d1f0ab4-e8c9-4bf9-9325-6b0edc36f7de', 'Hadi Gunawan', 2, 2, 3, 0, '2020-03-21', '2020-04-04', '2020-04-03', '2023-05-29 02:10:34', '2023-05-29 02:10:34'),
(108, '242664858', 111, '9f642299-039c-4d4d-a8c6-92edee8768f7', 'Utama Artawan Rajata', 1, 1, 3, 0, '2022-05-28', '2022-06-11', '2022-06-10', '2023-05-29 02:10:35', '2023-05-29 02:10:35'),
(109, '379850972', 112, '76db66e3-01fb-4408-bd45-30d4a1b1d57c', 'Caraka Thamrin S.Sos', 2, 2, 3, 0, '2022-06-21', '2022-07-05', '2022-07-04', '2023-05-29 02:10:35', '2023-05-29 02:10:35'),
(110, '829192382', 113, 'e8a9f56a-cb98-4d99-b6b1-464199d7835c', 'Usyi Yani Pertiwi', 2, 2, 3, 0, '2021-05-29', '2021-06-12', '2021-06-11', '2023-05-29 02:10:35', '2023-05-29 02:10:35'),
(111, '337035886', 114, 'e4ff43c7-60ed-4bca-bf99-85e7f8bf72c0', 'Aswani Marpaung M.Farm', 2, 1, 3, 0, '2021-06-09', '2021-06-23', '2021-06-22', '2023-05-29 02:10:35', '2023-05-29 02:10:35'),
(112, '155791404', 115, '92e5e6a1-1d4e-4a3d-94e9-ef85ab6819e5', 'Yunita Hasanah', 2, 1, 3, 0, '2020-11-02', '2020-11-16', '2020-11-15', '2023-05-29 02:10:35', '2023-05-29 02:10:35'),
(113, '382722226', 116, '2787baaa-91ea-4c62-8487-518b10e41c7b', 'Kemba Sitompul', 2, 1, 3, 0, '2022-03-15', '2022-03-29', '2022-03-28', '2023-05-29 02:10:35', '2023-05-29 02:10:35'),
